[run number],n-turtles,spread-chance,pop-weight,n-groups,familiarity-inc,group-tightness,fam-weight,[steps],proportion
1,100,0,0,10,0.1,0.3,0,5000,0.5
2,100,0,0,10,0.1,0.3,0,5000,0.5
3,100,0,0,10,0.1,0.3,0,5000,0.5
4,100,0,0,10,0.1,0.3,0,5000,0.5
5,100,0,0,10,0.1,0.3,0,5000,0.5
6,100,0,0,10,0.1,0.3,0,5000,0.5
7,100,0,0,10,0.1,0.3,0,5000,0.5
8,100,0,0,10,0.1,0.3,0,5000,0.5
9,100,0,0,10,0.1,0.3,0,5000,0.5
10,100,0,0,10,0.1,0.3,0,5000,0.5
11,100,0,0,10,0.1,0.3,0.1,5000,0.59
12,100,0,0,10,0.1,0.3,0.1,5000,0.59
13,100,0,0,10,0.1,0.3,0.1,5000,0.58
14,100,0,0,10,0.1,0.3,0.1,5000,0.57
15,100,0,0,10,0.1,0.3,0.1,5000,0.54
16,100,0,0,10,0.1,0.3,0.1,5000,0.6
17,100,0,0,10,0.1,0.3,0.1,5000,0.64
18,100,0,0,10,0.1,0.3,0.1,5000,0.98
19,100,0,0,10,0.1,0.3,0.1,5000,0.66
20,100,0,0,10,0.1,0.3,0.1,5000,0.54
21,100,0,0,10,0.1,0.3,0.2,5000,0.87
22,100,0,0,10,0.1,0.3,0.2,307,1
23,100,0,0,10,0.1,0.3,0.2,5000,0.6
24,100,0,0,10,0.1,0.3,0.2,361,1
25,100,0,0,10,0.1,0.3,0.2,5000,0.63
26,100,0,0,10,0.1,0.3,0.2,5000,0.53
27,100,0,0,10,0.1,0.3,0.2,5000,0.56
28,100,0,0,10,0.1,0.3,0.2,5000,0.53
29,100,0,0,10,0.1,0.3,0.2,5000,0.69
30,100,0,0,10,0.1,0.3,0.2,5000,0.52
31,100,0,0,10,0.1,0.3,0.3,5000,0.57
32,100,0,0,10,0.1,0.3,0.3,5000,0.54
33,100,0,0,10,0.1,0.3,0.3,5000,0.51
34,100,0,0,10,0.1,0.3,0.3,5000,0.58
35,100,0,0,10,0.1,0.3,0.3,5000,0.63
36,100,0,0,10,0.1,0.3,0.3,5000,0.52
37,100,0,0,10,0.1,0.3,0.3,5000,0.76
38,100,0,0,10,0.1,0.3,0.3,5000,0.55
39,100,0,0,10,0.1,0.3,0.3,5000,0.51
40,100,0,0,10,0.1,0.3,0.3,5000,0.5
41,100,0,0,10,0.1,0.3,0.4,5000,0.6
42,100,0,0,10,0.1,0.3,0.4,5000,0.63
43,100,0,0,10,0.1,0.3,0.4,5000,0.54
44,100,0,0,10,0.1,0.3,0.4,5000,0.8
45,100,0,0,10,0.1,0.3,0.4,5000,0.6
46,100,0,0,10,0.1,0.3,0.4,5000,0.65
47,100,0,0,10,0.1,0.3,0.4,5000,0.65
48,100,0,0,10,0.1,0.3,0.4,5000,0.6
49,100,0,0,10,0.1,0.3,0.4,5000,0.53
50,100,0,0,10,0.1,0.3,0.4,5000,0.52
51,100,0,0,10,0.1,0.3,0.5,5000,0.59
52,100,0,0,10,0.1,0.3,0.5,5000,0.6
53,100,0,0,10,0.1,0.3,0.5,5000,0.56
54,100,0,0,10,0.1,0.3,0.5,5000,0.61
55,100,0,0,10,0.1,0.3,0.5,5000,0.63
56,100,0,0,10,0.1,0.3,0.5,5000,0.6
57,100,0,0,10,0.1,0.3,0.5,5000,0.53
58,100,0,0,10,0.1,0.3,0.5,5000,0.51
59,100,0,0,10,0.1,0.3,0.5,5000,0.58
60,100,0,0,10,0.1,0.3,0.5,5000,0.8
61,100,0,0,10,0.1,0.3,0.6,5000,0.53
62,100,0,0,10,0.1,0.3,0.6,5000,0.65
63,100,0,0,10,0.1,0.3,0.6,5000,0.55
64,100,0,0,10,0.1,0.3,0.6,5000,0.64
65,100,0,0,10,0.1,0.3,0.6,5000,0.51
66,100,0,0,10,0.1,0.3,0.6,5000,0.59
67,100,0,0,10,0.1,0.3,0.6,5000,0.59
68,100,0,0,10,0.1,0.3,0.6,5000,0.51
69,100,0,0,10,0.1,0.3,0.6,5000,0.59
70,100,0,0,10,0.1,0.3,0.6,5000,0.52
71,100,0,0,10,0.1,0.3,0.7,5000,0.53
72,100,0,0,10,0.1,0.3,0.7,5000,0.5
73,100,0,0,10,0.1,0.3,0.7,5000,0.51
74,100,0,0,10,0.1,0.3,0.7,5000,0.52
75,100,0,0,10,0.1,0.3,0.7,5000,0.62
76,100,0,0,10,0.1,0.3,0.7,5000,0.51
77,100,0,0,10,0.1,0.3,0.7,5000,0.64
78,100,0,0,10,0.1,0.3,0.7,5000,0.6
79,100,0,0,10,0.1,0.3,0.7,5000,0.52
80,100,0,0,10,0.1,0.3,0.7,5000,0.61
81,100,0,0,10,0.1,0.3,0.8,5000,0.56
82,100,0,0,10,0.1,0.3,0.8,5000,0.54
83,100,0,0,10,0.1,0.3,0.8,5000,0.58
84,100,0,0,10,0.1,0.3,0.8,5000,0.57
85,100,0,0,10,0.1,0.3,0.8,5000,0.6
86,100,0,0,10,0.1,0.3,0.8,5000,0.54
87,100,0,0,10,0.1,0.3,0.8,5000,0.51
88,100,0,0,10,0.1,0.3,0.8,5000,0.64
89,100,0,0,10,0.1,0.3,0.8,5000,0.69
90,100,0,0,10,0.1,0.3,0.8,5000,0.51
91,100,0,0,10,0.1,0.3,0.9,5000,0.55
92,100,0,0,10,0.1,0.3,0.9,5000,0.84
93,100,0,0,10,0.1,0.3,0.9,5000,0.52
94,100,0,0,10,0.1,0.3,0.9,5000,0.6
95,100,0,0,10,0.1,0.3,0.9,5000,0.59
96,100,0,0,10,0.1,0.3,0.9,5000,0.55
97,100,0,0,10,0.1,0.3,0.9,5000,0.61
98,100,0,0,10,0.1,0.3,0.9,5000,0.63
99,100,0,0,10,0.1,0.3,0.9,321,1
100,100,0,0,10,0.1,0.3,0.9,5000,0.65
101,100,0,0,10,0.1,0.3,1,5000,0.6
102,100,0,0,10,0.1,0.3,1,5000,0.57
103,100,0,0,10,0.1,0.3,1,274,1
104,100,0,0,10,0.1,0.3,1,5000,0.56
105,100,0,0,10,0.1,0.3,1,5000,0.7
106,100,0,0,10,0.1,0.3,1,5000,0.5
107,100,0,0,10,0.1,0.3,1,5000,0.51
108,100,0,0,10,0.1,0.3,1,5000,0.63
109,100,0,0,10,0.1,0.3,1,5000,0.52
110,100,0,0,10,0.1,0.3,1,5000,0.74
111,100,0,0.1,10,0.1,0.3,0,5000,0.79
112,100,0,0.1,10,0.1,0.3,0,5000,0.65
113,100,0,0.1,10,0.1,0.3,0,5000,0.53
114,100,0,0.1,10,0.1,0.3,0,5000,0.87
115,100,0,0.1,10,0.1,0.3,0,5000,0.89
116,100,0,0.1,10,0.1,0.3,0,5000,0.58
117,100,0,0.1,10,0.1,0.3,0,5000,0.78
118,100,0,0.1,10,0.1,0.3,0,5000,0.75
119,100,0,0.1,10,0.1,0.3,0,5000,0.7
120,100,0,0.1,10,0.1,0.3,0,343,1
121,100,0,0.1,10,0.1,0.3,0.1,5000,0.54
122,100,0,0.1,10,0.1,0.3,0.1,5000,0.55
123,100,0,0.1,10,0.1,0.3,0.1,5000,0.66
124,100,0,0.1,10,0.1,0.3,0.1,5000,0.71
